symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,,
FB,1.351649159,1.406752412,TRUE,3.66101288,0.72845002,FALSE,6.753154526,5.816855443,FALSE,25.16044904,62.99592699,TRUE,34.97708998,72.99944964,TRUE,34.68143839,80.11188584,TRUE,
NTDOY,3.352708617,2.239789196,FALSE,3.016777765,11.40298507,TRUE,5.69738643,10.27811366,TRUE,20.26080905,3.448275862,FALSE,31.93341791,35.19650655,TRUE,33.41511409,46.84813754,TRUE,
TER,1.648535624,5.935556812,TRUE,1.435982663,5.02283105,TRUE,-0.0535384,5.185185185,TRUE,17.84648633,7.246376812,FALSE,32.15315766,21.3610586,FALSE,29.02276829,13.15240084,FALSE,
UBSFY,2.481285511,11.18644068,TRUE,4.891969474,15.99063712,TRUE,5.321305018,15.48387097,TRUE,22.25777625,25.98870056,TRUE,31.87400941,35.30864198,TRUE,34.24016638,67.97066015,TRUE,
VOD,1.937253964,0.417412045,FALSE,1.886766548,4.707560628,TRUE,1.190720707,4.160688666,TRUE,18.42392254,0.119617225,FALSE,21.74203139,-3.118246372,FALSE,28.53656287,-20.10068321,FALSE,
CYH,1.076064773,0.15461925,FALSE,1.954679627,4.45718513,TRUE,0.976324456,8.339247693,TRUE,6.627766525,6.021466254,FALSE,12.04859387,-367.0886076,FALSE,29.80651253,-609.6153846,FALSE,
DPZ,1.313864719,-1.030640669,FALSE,1.984576164,0.602904905,FALSE,2.9224718,1.50712831,FALSE,15.67899566,35.0698174,TRUE,11.60923124,45.80905424,TRUE,32.48828706,65.86674195,TRUE,
EBAY,2.740384201,-3.470283207,FALSE,3.833359521,-2.580326248,FALSE,5.225345063,-4.596774194,FALSE,18.97717782,16.33607483,FALSE,14.70016403,-117.2529313,FALSE,33.86520087,-47.84838985,FALSE,
GOOGL,-0.533298247,-0.021911713,TRUE,-0.68711947,0.835533572,TRUE,-2.639091528,-1.658272519,TRUE,3.578099768,9.151867728,TRUE,13.47609131,25.85771758,TRUE,30.56828612,41.12137478,TRUE,
HD,-1.008281582,-2.49634544,FALSE,-0.997860141,-0.974853218,TRUE,-2.332310367,0.643121866,TRUE,4.319188538,20.55260176,TRUE,13.33572179,28.67204007,TRUE,30.17557071,45.13002649,TRUE,
JPM,-1.184475231,0.406228842,TRUE,-5.046013081,-6.826434277,FALSE,2.97713031,0.926081832,FALSE,7.373216718,1.916986164,FALSE,16.14868688,14.47674419,FALSE,34.71982021,41.61539988,TRUE,
RELX,-0.825014749,-2.245414295,FALSE,-2.019262075,-3.505682728,FALSE,-0.313510426,-2.847144902,FALSE,6.77081512,-265.7239819,FALSE,14.8190995,-257.0403092,FALSE,33.32173911,-178.586816,FALSE,
MAORF,-2.416528811,-7.272727273,FALSE,0.314880113,-4.733727811,FALSE,-1.780861913,-11.32075472,FALSE,-5.043071708,-24.64788732,FALSE,14.95162057,-32.28699552,FALSE,28.53385232,28.48484848,FALSE,
NDAQ,1.178126453,9.649122807,TRUE,-1.000212913,4.357142857,TRUE,-0.658766632,5.63777308,TRUE,5.684367986,0.111898545,FALSE,13.65143183,17.47303544,TRUE,34.95274797,32.59501636,FALSE,
